FO	1930	FRA	Henri Cochet	USA	Bill Tilden	3-6, 8-6, 6-3, 6-1	2
WO	1930	USA	Bill Tilden	USA	Wilmer Allison	6-3, 9-7, 6-4	3
USO	1930	USA	John Doeg	USA	Francis Shields	10-8, 1-6, 6-4, 16-14	4
AO	1931	AUS	Jack Crawford	AUS	Harry Hopman	6-4, 6-2, 2-6, 6-1	1
FO	1931	FRA	Jean Borotra	FRA	Christian Boussus	2-6, 6-4, 7-5, 6-4	2
WO	1931	USA	Sidney Wood	USA	Frank Shields	walkover[h]	3
USO	1931	USA	Ellsworth Vines	USA	George Lott	7-9, 6-3, 9-7, 7-5	4
AO	1932	AUS	Jack Crawford	AUS	Harry Hopman	4-6, 6-3, 3-6, 6-3, 6-1	1
FO	1932	FRA	Henri Cochet	ITA	Giorgio de Stefani	6-0, 6-4, 4-6, 6-3	2
WO	1932	USA	Ellsworth Vines	GBR	Bunny Austin	6-4, 6-2, 6-0	3
USO	1932	USA	Ellsworth Vines	FRA	Henri Cochet	6-4, 6-4, 6-4	4
AO	1933	AUS	Jack Crawford	USA	Keith Gledhill	2-6, 7-5, 6-3, 6-2	1
FO	1933	AUS	Jack Crawford	FRA	Henri Cochet	8-6, 6-1, 6-3	2
WO	1933	AUS	Jack Crawford	USA	Ellsworth Vines	4-6, 11-9, 6-2, 2-6, 6-4	3
USO	1933	GBR	Fred Perry	AUS	Jack Crawford	6-3, 11-13, 4-6, 6-0, 6-1	4
AO	1934	GBR	Fred Perry	AUS	Jack Crawford	6-3, 7-5, 6-1	1
FO	1934	GER	Gottfried von Cramm	AUS	Jack Crawford	6-4, 7-9, 3-6, 7-5, 6-3	2
WO	1934	GBR	Fred Perry	AUS	Jack Crawford	6-3, 6-0, 7-5	3
USO	1934	GBR	Fred Perry	USA	Wilmer Allison	6-4, 6-3, 3-6, 1-6, 8-6	4
AO	1935	AUS	Jack Crawford	GBR	Fred Perry	2-6, 6-4, 6-4, 6-4	1
FO	1935	GBR	Fred Perry	GER	Gottfried von Cramm	6-3, 3-6, 6-1, 6-3	2
WO	1935	GBR	Fred Perry	GER	Gottfried von Cramm	6-2, 6-4, 6-4	3
USO	1935	USA	Wilmer Allison	USA	Sidney Wood	6-2, 6-2, 6-3	4
AO	1936	AUS	Adrian Quist	AUS	Jack Crawford	6-2, 6-3, 4-6, 3-6, 9-7	1
FO	1936	GER	Gottfried von Cramm	GBR	Fred Perry	6-0, 2-6, 6-2, 2-6, 6-0	2
WO	1936	GBR	Fred Perry	GER	Gottfried von Cramm	6-1, 6-1, 6-0	3
USO	1936	GBR	Fred Perry	USA	Don Budge	2-6, 6-2, 8-6, 1-6, 10-8	4
AO	1937	AUS	Vivian McGrath	AUS	John Bromwich	6-3, 1-6, 6-0, 2-6, 6-1	1
FO	1937	GER	Henner Henkel	GBR	Bunny Austin	6-1, 6-4, 6-3	2
WO	1937	USA	Don Budge	GER	Gottfried von Cramm	6-3, 6-4, 6-2	3
USO	1937	USA	Don Budge	GER	Gottfried von Cramm	6-1, 7-9, 6-1, 3-6, 6-1	4
AO	1938	USA	Don Budge	AUS	John Bromwich	6-4, 6-2, 6-1	1
FO	1938	USA	Don Budge	TCH	Roderich Menzel	6-3, 6-2, 6-4	2
WO	1938	USA	Don Budge	GBR	Bunny Austin	6-1, 6-0, 6-3	3
USO	1938	USA	Don Budge	USA	Gene Mako	6-3, 6-8, 6-2, 6-1	4
AO	1939	AUS	John Bromwich	AUS	Adrian Quist	6-4, 6-1, 6-3	1
FO	1939	USA	Donald McNeill	USA	Bobby Riggs	7-5, 6-0, 6-3	2
