USO	1971	USA	Billie Jean King (2)	USA	Rosemary Casals	6–4, 7–6	4
AO	1972	GBR[j]	Virginia Wade	AUS	Evonne Goolagong Cawley	6–4, 6–4	1
FO	1972	USA	Billie Jean King	AUS	Evonne Goolagong Cawley	6–3, 6–3	2
WO	1972	USA	Billie Jean King	AUS	Evonne Goolagong	6–3, 6–3	3
USO	1972	USA	Billie Jean King (3)	AUS	Kerry Melville Reid	6–3, 7–5	4
AO	1973	AUS	Margaret Court	AUS	Evonne Goolagong Cawley	6–4, 7–5	1
FO	1973	AUS	Margaret Court	USA	Chris Evert	6–7, 7–6, 6–4	2
WO	1973	USA	Billie Jean King	USA	Chris Evert	6–0, 7–5	3
USO	1973	AUS	Margaret Court (5)	AUS	Evonne Goolagong Cawley	7–6, 5–7, 6–2	4
AO	1974	AUS	Evonne Goolagong Cawley	USA	Chris Evert	7–6(7–5), 4–6, 6–0	1
FO	1974	USA	Chris Evert	URS	Olga Morozova	6–1, 6–2	2
WO	1974	USA	Chris Evert	URS	Olga Morozova	6–0, 6–4	3
USO	1974	USA	Billie Jean King (4)	AUS	Evonne Goolagong Cawley	3–6, 6–3, 7–5	4
AO	1975	AUS	Evonne Goolagong Cawley	TCH[k]	Martina Navratilova[h]	6–3, 6–2	1
FO	1975	USA	Chris Evert	TCH[h]	Martina Navratilova[j]	2–6, 6–2, 6–1	2
WO	1975	USA	Billie Jean King	AUS	Evonne Goolagong Cawley	6–0, 6–1	3
USO	1975	USA	Chris Evert	AUS	Evonne Goolagong Cawley	5–7, 6–4, 6–2	4
AO	1976	AUS	Evonne Goolagong Cawley	TCH	Renáta Tomanová	6–2, 6–2	1
FO	1976	GBR	Sue Barker	TCH	Renáta Tomanová	6–2, 0–6, 6–2	2
WO	1976	USA	Chris Evert	AUS	Evonne Goolagong Cawley	6–3, 4–6, 8–6	3
USO	1976	USA	Chris Evert (2)	AUS	Evonne Goolagong Cawley	6–3, 6–0	4
FO	1977	YUG	Mima Jaušovec	ROU	Florenţa Mihai	6–2, 6–7, 6–1	2
